cruise,seq,date_time,ctrb_id,bottle,depth,dec_lat,dec_long,adinos,hdinos
21491,9,1991-08-02 22:09:00,H1,6,0,36.62,-121.89,3.89148936580755,3.31712720237961
22791,1,1991-08-15 14:46:00,C1,12,0,36.79,-121.84,1.72881061723004,2.27101888125358
22791,6,1991-08-15 18:53:00,H3,12,0,36.77,-122.01,1.29788682813972,-0.0156091920488511
22791,7,1991-08-15 20:42:00,C7,12,0,36.63,-122.13,2.7269481709532,0.235809399730697
22791,9,1991-08-15 22:27:00,H1,6,0,36.62,-121.89,-0.360975607118999,1.679185405789
25691,1,1991-09-13 14:42:00,C1,12,0,36.79,-121.84,3.00880816030891,1.96976185068786
25691,6,1991-09-13 18:46:00,H3,12,0,36.77,-122.01,-0.611948833202941,-1.223787831699
25691,7,1991-09-13 20:38:00,C7,12,0,36.64,-122.13,0.718545397811323,0.661033512426176
25691,9,1991-09-13 22:32:00,H1,6,0,36.62,-121.89,1.17294797298869,-0.924877492811478
28991,3,1991-10-16 17:04:00,H1,6,0,36.62,-121.89,4.70648326682108,2.19511747005519
28991,5,1991-10-16 18:04:00,Q5,2,0,36.63,-122.01,1.13158757816206,1.3204477848511
28991,7,1991-10-16 19:12:00,C7,12,0,36.63,-122.13,2.05179268557939,-0.342152337896412
28991,8,1991-10-16 21:00:00,H3,12,0,36.77,-122.01,2.54222007013234,0.0828473862675269
28991,9,1991-10-16 22:14:00,L4,2,0,36.88,-122.08,4.04974945149862,2.67902282029794
31791,1,1991-11-13 15:42:00,C1,12,0,36.79,-121.84,1.6755735325299,-0.160000925860854
31791,4,1991-11-13 18:57:00,H5,1,0,36.9,-122.01,0.288630872198912,1.38528585274623
31791,5,1991-11-13 19:37:00,L4,2,0,36.88,-122.08,-0.990093366032883,-1.85702785665324
31791,6,1991-11-13 20:38:00,H3,12,0,36.77,-122.01,1.22886071491758,-0.421051954310346
31791,7,1991-11-13 22:21:00,Q5,2,0,36.63,-122.01,0.383668614380757,-0.237013039541553
31791,8,1991-11-13 23:11:00,H1,6,0,36.62,-121.89,-1.57802161310794,1.35544100380339
35291,1,1991-12-18 15:49:00,C1,12,0,36.79,-121.84,0.977654844905433,0.85569153473451
35291,4,1991-12-18 18:15:00,H5,1,0,36.9,-122.01,1.84760941628748,1.38573470454136
35291,5,1991-12-18 18:43:00,L4,2,0,36.88,-122.08,0.898574318918746,0.87977486931207
35291,7,1991-12-18 20:19:00,H3,12,0,36.78,-122.01,2.01168330949773,2.11859770948088
35291,8,1991-12-18 22:00:00,C7,12,0,36.63,-122.13,1.5804924040894,-0.988025752474941
35291,9,1991-12-18 23:09:00,Q5,2,0,36.63,-122.01,5.00221121765737,1.11739576935979
03692,1,1992-02-05 15:45:00,C1,12,0,36.79,-121.84,0.325133191951219,1.06132431989387
03692,2,1992-02-05 16:49:00,M3,2,0,36.78,-121.93,0.602586056119656,0.401497246546779
03692,5,1992-02-05 21:34:00,C7,12,0,36.63,-122.14,1.67882441310558,1.27213104760765
07192,1,1992-03-11 15:54:00,C1,12,0,36.79,-121.85,2.22188054968895,1.74080892311315
07192,2,1992-03-11 16:57:00,M3,2,0,36.78,-121.93,3.19451300688961,-0.507876642954021
07192,3,1992-03-11 17:42:00,Q4,1,0,36.86,-121.91,-0.333333766774066,-0.557201205387533
