cruise,seq,date_time,ctrb_id,bottle,depth,dec_lat,dec_long,biomass
18392,3,1992-07-01 16:37:00,Q4,2,0,36.86,-121.91,3.64806160021011
18392,4,1992-07-01 17:19:00,H5,1,0,36.9,-122.01,3.41940956186106
18392,5,1992-07-01 17:48:00,L4,1,0,36.88,-122.08,3.42937237899073
18392,6,1992-07-01 18:52:00,H3,12,0,36.77,-122.01,2.93275381488591
18392,7,1992-07-01 20:37:00,C7,13,0,36.63,-122.13,3.44932440536762
18392,8,1992-07-01 21:51:00,Q5,1,0,36.63,-122.01,3.74343799677135
18392,9,1992-07-01 22:28:00,H1,6,0,36.62,-121.89,1.92112831462765
19792,1,1992-07-15 14:48:00,C1,12,0,36.79,-121.84,4.23275650680364
19792,3,1992-07-15 16:55:00,H1,6,0,36.62,-121.89,4.42518303035831
19792,5,1992-07-15 18:43:00,C7,12,0,36.63,-122.14,3.75625888136614
19792,6,1992-07-15 20:19:00,H3,12,0,36.77,-122.01,4.09404340021071
21892,1,1992-08-05 14:38:00,C1,12,0,36.79,-121.84,4.9037700172233
21892,3,1992-08-05 16:35:00,H1,6,0,36.62,-121.89,4.83071845165774
21892,5,1992-08-05 18:22:00,C7,11,0,36.63,-122.14,5.14599439877039
21892,6,1992-08-05 20:11:00,H3,12,0,36.77,-122.01,5.82316840868803
21892,7,1992-08-05 21:26:00,L4,2,0,36.88,-122.08,5.90383102571756
21892,8,1992-08-05 21:55:00,H5,4,0,36.9,-122.01,5.88800915443925
21892,9,1992-08-05 22:36:00,Q4,2,0,36.85,-121.91,5.31799847175482
25392,1,1992-09-09 14:43:00,C1,12,0,36.79,-121.84,3.87285112788239
25392,3,1992-09-09 16:52:00,H1,6,0,36.62,-121.89,2.99374449923901
25392,5,1992-09-09 18:44:00,C7,12,0,36.63,-122.13,3.42298366113384
25392,6,1992-09-09 20:28:00,H3,12,0,36.77,-122.01,3.76945075282784
28992,1,1992-10-15 14:52:00,C1,12,0,36.79,-121.84,4.44951338753337
28992,3,1992-10-15 18:53:00,H3,12,0,36.78,-122.01,3.73208297055832
28992,5,1992-10-15 20:22:00,H5,2,0,36.9,-122.01,3.14499657732424
28992,6,1992-10-15 21:01:00,Q4,2,0,36.86,-121.9,4.51525020492596
30992,1,1992-11-04 15:44:00,C1,12,0,36.79,-121.84,2.89969312311512
30992,2,1992-11-04 16:30:00,M3,2,0,36.78,-121.93,2.96277479334395
30992,3,1992-11-04 17:38:00,H1,6,0,36.62,-121.89,2.73319935986602
30992,4,1992-11-04 18:24:00,Q5,2,0,36.63,-122.01,3.02242785447311
30992,5,1992-11-04 19:31:00,C7,12,0,36.63,-122.14,3.26455700878212
30992,6,1992-11-04 21:09:00,H3,12,0,36.77,-122.01,3.30850703709065
30992,7,1992-11-04 22:17:00,L4,2,0,36.88,-122.08,3.06630014407854
30992,8,1992-11-04 22:46:00,H5,2,0,36.9,-122.01,3.35154260382203
30992,9,1992-11-04 23:26:00,Q4,2,0,36.86,-121.9,3.19824923180544
