cruise,seq,date_time,ctrb_id,bottle,depth,dec_lat,dec_long,pennate,centric
07192,3,1992-03-11 17:42:00,Q4,1,0,36.86,-121.91,-0.744223656349084,-0.679291613789505
SU92-1,1,1992-03-27 17:57:00,C1,12,0,36.8,-121.85,0.496067252790445,0.16795721517954
10692,2,1992-04-15 19:54:00,H3,12,0,36.63,-122.09,2.41503151422053,4.05648513676282
10792,1,1992-04-16 14:43:00,C1,12,0,36.79,-121.84,2.40600232169227,3.97944811261463
10792,5,1992-04-16 17:28:00,L4,2,0,36.88,-122.08,3.59666871108913,4.66448544272479
10792,6,1992-04-16 19:14:00,C7,12,0,36.63,-122.13,2.68691426935055,3.04708866595082
10792,8,1992-04-16 21:02:00,H1,6,0,36.62,-121.89,2.88793618317947,4.06158609835186
12192,1,1992-04-30 15:00:00,C1,12,0,36.79,-121.84,2.49678383593389,3.2877376371006
12192,3,1992-04-30 18:47:00,M3,2,0,36.78,-121.93,2.71797313884092,4.72630623401043
12192,4,1992-04-30 20:04:00,H3,12,0,36.77,-122.01,2.85544249439751,3.96746577283248
12192,5,1992-04-30 21:54:00,Q4,3,0,36.86,-121.9,3.01775752702483,3.50348046688471
12792,1,1992-05-06 14:47:00,C1,12,0,36.79,-121.85,0.466669326631854,2.55761979247637
12792,3,1992-05-06 16:26:00,Q4,2,0,36.86,-121.91,0.358928901866014,2.3043034158314
12792,4,1992-05-06 17:08:00,H5,1,0,36.9,-122.01,1.42842453959427,3.27819086485066
12792,5,1992-05-06 17:36:00,L4,1,0,36.88,-122.08,1.16369222571363,2.62256943394965
12792,6,1992-05-06 18:39:00,H3,12,0,36.77,-122.01,-0.0691207368042299,2.08092743719012
12792,7,1992-05-06 20:25:00,C7,12,0,36.63,-122.13,0.890874047206855,1.43064133559195
12792,8,1992-05-06 21:25:00,Q5,1,0,36.63,-122.01,1.58370258140176,2.47574001426541
